text,mood
Everything good in my life seems to have vanished,sad
I feel broken beyond repair and see no way out,sad
The darkness inside me is becoming too much to bear,sad
I am thrilled and beaming with pride today,happy
Joy is bursting out of me and I cannot hide it,happy
I feel genuinely happy and at ease with everything,happy
My soul is dancing with delight and happiness,happy
Everything feels perfectly right and wonderful today,happy
I glow with warmth and gratitude for my life,happy
I feel elated and full of positive energy right now,happy
My laughter comes easily and my heart is light,happy
Today I feel a deep sense of accomplishment and joy,happy
I am absolutely delighted by how things turned out,happy
